state,pollster,Respondent type,sample_size,start_date,end_date,Average date,Margin,Grade,Tentative grade,Weighted,Grade log,True age,Age weight,Grade weight
OH,Public Policy Polling,V,648,11/27/2018,11/28/2018,11/27/2018,4,5,,2518,0.699,557,-0.0249,-0.0037
NC,Public Policy Polling,RV,750,1/4/2019,1/7/2019,1/5/2019,5,5,,3652,0.699,518,-0.0225,-0.0037
MI,Glengariff Group Inc.,LV,600,1/24/2019,1/26/2019,1/25/2019,13,,2,7641,0.151,498,-0.0212,0.0018
IA,Emerson College,RV,831,1/30/2019,2/2/2019,1/31/2019,1,3,,975,0.477,492,-0.0208,-0.0015
NC,Harper Polling,LV,500,2/11/2019,2/13/2019,2/12/2019,-4,,2,-1962,0.151,480,-0.0201,0.0018
AZ,OH Predictive Insights,LV,600,2/12/2019,2/13/2019,2/12/2019,0,,2,0,0.151,480,-0.0201,0.0018
TX,Public Policy Polling,RV,743,2/13/2019,2/14/2019,2/13/2019,-3,5,,-2176,0.699,479,-0.0200,-0.0037
NH,Emerson College,RV,910,2/21/2019,2/22/2019,2/21/2019,10,3,,8553,0.477,471,-0.0195,-0.0015
TX,Quinnipiac University,RV,"1,222",2/20/2019,2/25/2019,2/22/2019,-1,4,,-1195,0.602,470,-0.0194,-0.0027
SC,Emerson College,RV,755,2/28/2019,3/2/2019,3/1/2019,-4,3,,-2810,0.477,463,-0.0190,-0.0015
MI,Emerson College,RV,743,3/7/2019,3/10/2019,3/8/2019,7,3,,5388,0.477,456,-0.0186,-0.0015
WI,Emerson College,RV,775,3/15/2019,3/17/2019,3/16/2019,9,3,,6535,0.477,448,-0.0181,-0.0015
PA,Firehouse/Optimus,LV,632,3/19/2019,3/21/2019,3/20/2019,7,,2,4349,0.151,444,-0.0178,0.0018
WI,Firehouse/Optimus,LV,616,3/19/2019,3/21/2019,3/20/2019,13,,2,7872,0.151,444,-0.0178,0.0018
MI,Firehouse/Optimus,LV,530,3/19/2019,3/21/2019,3/20/2019,-1,,2,-521,0.151,444,-0.0178,0.0018
IA,Emerson College,RV,707,3/21/2019,3/24/2019,3/22/2019,6,3,,4022,0.477,442,-0.0177,-0.0015
PA,Emerson College,RV,808,3/26/2019,3/28/2019,3/27/2019,10,3,,7611,0.477,437,-0.0174,-0.0015
NV,Emerson College,RV,719,3/28/2019,3/30/2019,3/29/2019,3,3,,2399,0.477,435,-0.0173,-0.0015
MA,Emerson College,RV,761,4/4/2019,4/7/2019,4/5/2019,38,3,,28092,0.477,428,-0.0168,-0.0015
MO,Remington Research,LV,955,4/10/2019,4/11/2019,4/10/2019,-8,n/a,,-7514,,423,-0.0165,
WI,Zogby,LV,802,4/15/2019,4/18/2019,4/16/2019,10,,2,7898,0.151,417,-0.0161,0.0018
TX,Emerson College,RV,799,4/25/2019,4/28/2019,4/26/2019,1,3,,785,0.477,407,-0.0155,-0.0015
FL,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-4,,1,-789,0.000,405,-0.0154,0.0033
IA,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-5,,1,-986,0.000,405,-0.0154,0.0033
MI,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,3,,1,592,0.000,405,-0.0154,0.0033
PA,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,1,,1,197,0.000,405,-0.0154,0.0033
TX,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-7,,1,-1381,0.000,405,-0.0154,0.0033
WI,WPA Intelligence,LV,200,4/27/2019,4/30/2019,4/28/2019,-4,,1,-789,0.000,405,-0.0154,0.0033
AZ,OH Predictive Insights,LV,600,5/1/2019,5/2/2019,5/1/2019,5,,2,2957,0.151,402,-0.0152,0.0018
PA,Quinnipiac University,RV,978,5/9/2019,5/14/2019,5/11/2019,11,4,,10573,0.602,392,-0.0146,-0.0027
ND,DFM Research,A,400,5/14/2019,5/18/2019,5/16/2019,-15,,2,-5920,0.151,387,-0.0143,0.0018
FL,Florida Atlantic University,RV,"1,007",5/16/2019,5/19/2019,5/17/2019,0,,2,-397,0.151,386,-0.0142,0.0018
NC,Spry Strategies,LV,730,5/25/2019,6/1/2019,5/28/2019,-11,,2,-7929,0.151,375,-0.0135,0.0018
MI,Glengariff Group Inc.,LV,600,5/28/2019,5/30/2019,5/29/2019,12,,2,7110,0.151,374,-0.0135,0.0018
TX,Quinnipiac University,RV,"1,159",5/29/2019,6/4/2019,6/1/2019,4,4,,4562,0.602,371,-0.0133,-0.0027
NC,Emerson College,RV,932,5/31/2019,6/3/2019,6/1/2019,11,3,,10469,0.477,371,-0.0132,-0.0015
MI,EPIC-MRA,LV,600,6/8/2019,6/12/2019,6/10/2019,11,4,,6499,0.602,362,-0.0127,-0.0027
KY,Gravis Marketing,LV,741,6/11/2019,6/12/2019,6/11/2019,-20,8,,-14550,0.903,361,-0.0126,-0.0057
MI,Firehouse/Optimus,LV,587,6/11/2019,6/13/2019,6/12/2019,3,,2,1740,0.151,360,-0.0126,0.0018
PA,Firehouse/Optimus,LV,565,6/11/2019,6/13/2019,6/12/2019,1,,2,558,0.151,360,-0.0126,0.0018
WI,Firehouse/Optimus,LV,535,6/11/2019,6/13/2019,6/12/2019,6,,2,3173,0.151,360,-0.0126,0.0018
SC,Change Research,RV,"2,312",6/11/2019,6/14/2019,6/12/2019,-16,9,,-36301,0.954,360,-0.0125,-0.0062
FL,Quinnipiac University,RV,"1,279",6/12/2019,6/17/2019,6/14/2019,9,4,,11337,0.602,358,-0.0124,-0.0027
