state,Electoral votes,Total number of polls,Raw average,Leader (raw),Weighted average,Leader (weighted),Raw (abs.),Weighted (abs.),Raw scale,Weighted scale,Scale difference?,Leader difference,Average difference (W-R),state,RV average,LV average,RV-LV,state,2016 winner,Biden leading,Trump leading,Tied,Biden (%),Trump (%),Tied (%),Ratio leader,Number of respondents,Biden color (raw),Biden color (weighted)
WV,5,1,-35.0,Trump,-35.0,Trump,35.0,35.0,-4,-4,,,0.0,WV,,-35.0,,WV,Trump,0,1,0,0%,100%,0%,Trump,500,3,3
MA,11,3,33.2,Biden,32.7,Biden,33.2,32.7,4,4,,,-0.5,MA,33.2,,,MA,D,3,0,0,100%,0%,0%,Biden,"2,501",1,1
AR,6,0,,,,,,,,,,,,AR,,,,AR,Trump,0,0,0,,,,,,,
CA,55,15,28.3,Biden,28.1,Biden,28.3,28.1,4,4,,,-0.2,CA,27.4,28.3,-1.0,CA,D,15,0,0,100%,0%,0%,Biden,"23,346",1,1
NY,29,4,25.8,Biden,26.2,Biden,25.8,26.2,4,4,,,0.4,NY,25.8,,,NY,D,4,0,0,100%,0%,0%,Biden,"2,942",1,1
OK,7,2,-26.0,Trump,-26.1,Trump,26.0,26.1,-4,-4,,,-0.1,OK,-28.0,-24.0,-4.0,OK,Trump,0,2,0,0%,100%,0%,Trump,"1,000",3,3
"MD
",10,2,24.5,Biden,24.7,Biden,24.5,24.7,4,4,,,0.2,"MD
",,24.5,,"MD
",D,2,0,0,100%,0%,0%,Biden,"1,528",1,1
DC,3,0,,,,,,,,,,,,DC,,,,DC,D,0,0,0,,,,,,,
WA,12,6,21.2,Biden,21.5,Biden,21.2,21.5,4,4,,,0.4,WA,18.0,22.8,-4.8,WA,D,6,0,0,100%,0%,0%,Biden,"5,230",1,1
ND,3,5,-20.4,Trump,-21.4,Trump,20.4,21.4,-4,-4,,,-1.0,ND,,-21.5,,ND,Trump,0,5,0,0%,100%,0%,Trump,"1,900",3,3
NJ,14,6,19.5,Biden,20.5,Biden,19.5,20.5,4,4,,,1.0,NJ,19.0,,,NJ,D,6,0,0,100%,0%,0%,Biden,"5,947",1,1
HI,4,0,,,,,,,,,,,,HI,,,,HI,D,0,0,0,,,,,,,
AL,9,2,-20.5,Trump,-20.5,Trump,20.5,20.5,-4,-4,,,0.0,AL,-20.0,-21.0,1.0,AL,Trump,0,2,0,0%,100%,0%,Trump,"1,125",3,3
ID,4,0,,,,,,,,,,,,ID,,,,ID,Trump,0,0,0,,,,,,,
IL,20,0,,,,,,,,,,,,IL,,,,IL,D,0,0,0,,,,,,,
CT,7,5,18.0,Biden,18.0,Biden,18.0,18.0,4,4,,,0.0,CT,23.0,,,CT,D,5,0,0,100%,0%,0%,Biden,"4,945",1,1
TN,11,2,-16.5,Trump,-16.5,Trump,16.5,16.5,-4,-4,,,0.0,TN,-16.0,-17.0,1.0,TN,Trump,0,2,0,0%,100%,0%,Trump,"1,161",3,3
KY,8,3,-16.0,Trump,-16.1,Trump,16.0,16.1,-4,-4,,,-0.1,KY,,-16.0,,KY,Trump,0,3,0,0%,100%,0%,Trump,"2,445",3,3
